country,life_expectancy,GDP
Afghanistan,58.19375,340.0154
Albania,75.15625,2119.7267
Algeria,73.61875,2847.8534
Angola,49.01875,1975.143
Antigua and Barbuda,75.05625,9759.3057
Argentina,75.15625,6998.5751
Armenia,73.4,1999.9863
Australia,81.8125,34637.565
Austria,81.48125,33827.4763
Azerbaijan,70.73125,3302.9478
Bahrain,75.725,11191.2474
Bangladesh,69.3,443.5615
Barbados,74.35625,12017.0985
Belarus,69.90625,3811.5253
Belgium,80.68125,16915.306
Belize,69.26875,3933.0122
Benin,57.56875,561.168
Bhutan,66.1625,1353.9869
Bosnia and Herzegovina,75.96875,2245.026
Botswana,56.05,4498.2854
Brazil,73.38125,6143.1618
Brunei Darussalam,76.4875,19744.8081
Bulgaria,72.85,4938.9818
Burkina Faso,55.64375,410.372
Burundi,55.5375,137.8153
Cabo Verde,72.51875,2023.541
Cambodia,64.34375,466.1969
Cameroon,54.01875,781.016
Canada,81.6875,29382.9075
Central African Republic,48.5125,363.0559
Chad,50.3875,484.7917
Chile,79.45,6202.3444
China,74.2625,2345.3032
Colombia,73.2875,3321.6607
Comoros,61.58125,630.3843
Costa Rica,78.59375,3957.2273
Croatia,76.11875,9056.7847
Cuba,77.975,3180.4349
Cyprus,79.675,13898.8855
Denmark,79.25625,33067.4079
Djibouti,60.75625,897.9999
Dominican Republic,72.34375,3509.4992
Ecuador,74.725,2005.3525
El Salvador,71.74375,2517.8346
Equatorial Guinea,55.3125,7902.4108
Eritrea,59.525,259.3954
Estonia,74.94375,8340.4329
Ethiopia,59.1125,264.9709
Fiji,68.7125,2947.6127
Finland,80.7125,25268.6498
France,82.21875,26465.5514
Gabon,62.24375,5179.2562
Georgia,73.50625,2158.2809
Germany,81.175,24337.7491
Ghana,60.8625,834.3761
Greece,81.21875,16454.2359
Grenada,73.29375,6259.5173
Guatemala,71.73125,2365.8345
Guinea,56.0125,279.4648
Guinea-Bissau,55.36875,384.2149
Guyana,65.6375,1783.8809
Haiti,59.86875,434.3601
Honduras,72.99375,1421.7881
Hungary,73.825,8513.6418
Iceland,82.44375,30159.5029
India,65.41875,837.9201
Indonesia,67.55625,1669.1168
Iraq,70.26667,3542.5575
Ireland,80.15,33835.272
Israel,81.3,18860.476
Italy,82.1875,21234.7824
Jamaica,74.29375,2509.5465
Japan,82.5375,24892.5448
Jordan,72.9875,1822.6299
Kazakhstan,66.7625,4040.5867
Kenya,57.48125,716.7701
Kiribati,65.15,1175.2924
Kuwait,73.84375,31914.3783
Latvia,73.73125,7951.8249
Lebanon,74.2,4696.1924
Lesotho,48.78125,794.523
Liberia,57.525,246.2817
Libya,72.40833,4598.162
Lithuania,72.80625,9007.4586
Luxembourg,80.78125,53257.0127
Madagascar,62.74375,314.0413
Malawi,49.89375,237.504
Malaysia,73.75625,4904.939
Maldives,75.5375,3818.297
Mali,54.9375,530.5122
Malta,80.3625,10114.7979
Mauritania,62.8,635.0496
Mauritius,72.7125,5299.5798
Mexico,75.71875,5179.3308
Mongolia,65.8875,1984.688
Montenegro,74.5,4676.5143
Morocco,72.15625,1936.3914
Mozambique,53.39375,365.0682
Myanmar,64.2,616.1844
Namibia,60.4,3042.6035
Nepal,66.48125,395.3285
Netherlands,81.13125,34964.7198
New Zealand,81.3375,14775.5548
Nicaragua,73.45,957.904
Niger,56.98125,259.7824
Nigeria,51.35625,1360.1399
Norway,81.79375,27434.9469
Oman,74.84375,7621.3111
Pakistan,64.5,666.1111
Panama,76.4875,5417.7689
Papua New Guinea,61.6,758.0976
Paraguay,73.1125,1983.4043
Peru,73.6625,2928.5435
Philippines,67.575,1397.1361
Poland,75.65,6792.5636
Portugal,79.99375,11598.6255
Qatar,77.03125,40748.4441
Romania,74.05,4258.9401
Russian Federation,67.7625,6545.1374
Rwanda,59.3125,300.018
Samoa,73.61875,2121.6206
Sao Tome and Principe,65.33333,771.0348
Saudi Arabia,73.46875,10689.0529
Senegal,62.56875,274.6112
Serbia,73.95625,3674.5424
Seychelles,72.375,6496.3024
Sierra Leone,46.1125,271.5056
Singapore,81.475,32790.1059
Slovenia,79.73125,11441.0444
Solomon Islands,67.7125,801.9124
Somalia,54.5,297.4733
South Africa,57.5,4869.427
South Sudan,55.575,1092.2336
Spain,82.06875,17093.4597
Sri Lanka,73.4,1040.1102
Sudan,61.825,1192.798
Suriname,70.08125,4781.2168
Swaziland,51.325,2165.0908
Sweden,82.51875,29334.9906
Switzerland,82.33125,57362.8746
Syrian Arab Republic,73.1625,1087.4358
Tajikistan,66.65625,335.8417
Thailand,73.08125,3494.7817
Timor-Leste,64.75625,551.7106
Togo,56.6625,317.2041
Tonga,72.53125,1981.5552
Trinidad and Tobago,71.06875,7741.7481
Tunisia,74.35625,3044.0815
Turkey,73.9125,3983.9177
Turkmenistan,64.61875,2511.6115
Uganda,55.70625,421.0485
Ukraine,69.9375,1577.2933
United Arab Emirates,75.7,22110.367
Uruguay,76.075,7192.5849
Uzbekistan,68.03125,651.0924
Vanuatu,71.3875,2000.2455
Zambia,53.90625,811.8118
Zimbabwe,50.4875,410.9802